Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Cuba,1106798,8529,132,0,1098269,0.77,Other,2022-07-18T06:53:06.103Z
Cyprus,545896,1086,0,0,544810,0.2,Western_Europe,2022-07-18T06:53:06.103Z
Czech Republic,3952388,40352,585,2,3912036,1.02,Other,2022-07-18T06:53:06.103Z
Côte d'Ivoire,84501,806,50,0,83695,0.95,Other,2022-07-18T06:53:06.103Z
Denmark,3250368,6600,0,0,3243768,0.2,Western_Europe,2022-07-18T06:53:06.103Z
Djibouti,15690,189,0,0,15501,1.2,Other,2022-07-18T06:53:06.103Z
Dominica,14852,68,0,0,14784,0.46,Other,2022-07-18T06:53:06.103Z
Dominican Republic,621047,4383,0,0,616664,0.71,Other,2022-07-18T06:53:06.103Z
Ecuador,927700,35769,0,0,891931,3.86,Other,2022-07-18T06:53:06.103Z
Egypt,515645,24725,0,0,490920,4.79,Middle_East,2022-07-18T06:53:06.103Z
El Salvador,180970,4174,0,3,176796,2.31,Other,2022-07-18T06:53:06.103Z
Equatorial Guinea,16584,183,0,0,16401,1.1,Other,2022-07-18T06:53:06.103Z
Eritrea,9864,103,12,0,9761,1.04,Other,2022-07-18T06:53:06.103Z
Estonia,585143,2608,0,0,582535,0.45,Western_Europe,2022-07-18T06:53:06.103Z
Ethiopia,491086,7561,161,0,483525,1.54,Other,2022-07-18T06:53:06.103Z
Fiji,66713,869,0,0,65844,1.3,Other,2022-07-18T06:53:06.103Z
Finland,1171034,5012,0,0,1166022,0.43,Western_Europe,2022-07-18T06:53:06.103Z
France,32881809,151454,0,0,32730355,0.46,Western_Europe,2022-07-18T06:53:06.103Z
Gabon,48289,306,0,0,47983,0.63,Other,2022-07-18T06:53:06.103Z
Gambia,12009,365,0,0,11644,3.04,Other,2022-07-18T06:53:06.103Z
Georgia,1667453,16847,0,0,1650606,1.01,Other,2022-07-18T06:53:06.103Z
Germany,29692989,142533,232740,249,29550456,0.48,Western_Europe,2022-07-18T06:53:06.103Z
Ghana,167215,1456,0,0,165759,0.87,Other,2022-07-18T06:53:06.103Z
